trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
201,False,"{'a': 1.0, 'e': 0.1353352832366127}",20,10,18.426593179426153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 1.0, 'e': 0.13398867466880493}",25,17,5.496204141501936,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 1.0, 'e': 0.13265546508012172}",20,0,34.746279829876336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
204,False,"{'a': 1.0, 'e': 0.13133552114849303}",20,0,15.497408721636992,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
205,False,"{'a': 1.0, 'e': 0.1300287108784259}",25,15,18.447010372816603,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 1.0, 'e': 0.12873490358780423}",20,14,11.296687540506476,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 1.0, 'e': 0.12745396989482075}",20,13,14.177588186247466,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 1.0, 'e': 0.12618578170503877}",25,8,27.299828232166494,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 1.0, 'e': 0.12493021219858241}",20,4,16.673714591329986,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 1.0, 'e': 0.12368713581745483}",25,8,-9.46898632164416,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
211,False,"{'a': 1.0, 'e': 0.1224564282529819}",20,1,4.129274249143712,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
